dataset,kge_model,min_train_minutes,min_train_seconds,n_entities,n_relations,n_triples,epochs,embedding_dim,batch_size,lr
Coimbra,ComplEx,0.07261930166666085,4.357158099999651,130,3,147,50,64,256,0.001
Coimbra,RotatE,0.07136068333335667,4.2816410000014,130,3,147,50,64,256,0.001
Coimbra,TransE,0.07062374666663042,4.237424799997825,130,3,147,50,64,256,0.001
WDBC,ComplEx,1.488695454999955,89.32172729999729,882,70,35256,50,64,256,0.001
WDBC,RotatE,1.7024473749999742,102.14684249999846,882,70,35256,50,64,256,0.001
WDBC,TransE,1.1036948266665907,66.22168959999544,882,70,35256,50,64,256,0.001
